[FREDDOSO_MISSING] I.q74 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q75 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q76 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q77 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q78 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q79 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q80 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q81 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q82 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q83 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q84 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q85 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q86 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q87 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q88 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q89 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q90 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q91 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q92 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q93 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q94 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q95 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q96 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q97 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q98 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q99 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q100 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q101 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q102 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q103 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q104 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q105 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q106 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q107 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q108 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q109 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q110 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q111 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q112 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q113 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q114 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q115 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q116 listed in coverage_gaps.json but file not found; fell back to Dominican
